order_id,order_date,customer_id,store_id,region,order_amount,order_status,customer_valid,store_valid,record_status
2,2025-11-07,C2178,S86,North,,Pending,False,True,INVALID
2,2025-06-03,C1294,S43,West,1746.0,PENDING,False,True,INVALID
8,2025-08-23,C2231,S118,North,,approved,False,True,INVALID
11,2025-05-23,C2908,S238,East,2292.0,Cancelled,False,True,INVALID
12,2025-05-03,C1309,S240,East,2502.0,approved,False,True,INVALID
15,2025-06-26,C420,S222,West,1141.0,approved,False,True,INVALID
18,2025-08-05,C1019,S377,,1446.0,PENDING,False,True,INVALID
22,2025-07-24,C783,S529,North,996.0,approved,True,False,INVALID
23,2025-05-19,C1389,S423,West,,,False,True,INVALID
25,2025-06-30,C853,S582,North,1902.0,PENDING,False,False,INVALID
26,invalid_date,C1038,S502,North,,approved,False,False,INVALID
29,2025-06-19,C206,S543,West,-100.0,PENDING,False,False,INVALID
31,2025-10-10,C1309,S219,East,,approved,False,True,INVALID
34,2025-01-31,C935,S271,East,,PENDING,False,True,INVALID
35,2025-09-10,C823,S579,,2004.0,,False,False,INVALID
39,2025-02-14,C1752,S143,,-100.0,approved,False,True,INVALID
40,2025-05-12,C2572,S596,North,,Pending,True,False,INVALID
41,2025-06-16,C1094,S259,,,Pending,False,True,INVALID
48,2025-04-24,C55,S589,,,PENDING,True,False,INVALID
50,2025-01-13,C280,S578,East,-100.0,Cancelled,False,False,INVALID
54,2025-10-18,C1528,S78,,,PENDING,False,True,INVALID
61,2025-08-23,C1648,S63,,,Pending,False,True,INVALID
62,2025-01-03,C505,S581,North,,PENDING,True,False,INVALID
64,2025-08-21,C987,S381,West,,PENDING,False,True,INVALID
68,2025-10-08,C2135,S452,North,-100.0,PENDING,False,True,INVALID
70,2025-02-24,C1152,S261,East,1821.0,PENDING,False,True,INVALID
71,2025-02-22,C1919,S492,East,1991.0,approved,False,True,INVALID
75,2025-01-14,C1501,S532,,-100.0,,True,False,INVALID
80,2025-04-27,C1536,S458,North,-100.0,Pending,False,True,INVALID
82,2025-04-20,C789,S140,West,,PENDING,False,True,INVALID
85,2025-03-16,C872,S529,East,4426.0,Approved,False,False,INVALID
90,2025-04-06,C2511,S182,,,approved,False,True,INVALID
92,2026-01-01,C866,S444,South,,,False,True,INVALID
